,text,QA,task,chitchat
1480,nhawes 3la des mocassin,0,1,0
9365,comment puis je vous contacter,1,0,0
2235,je vais se casser,0,0,1
719,c bien sahit,0,1,0
5098,est-ce que tu peux des fois avoir envie de bouffer,0,0,1
3728,est-ce que tu peux donner ton opinion sur moi,0,0,1
1365,je ne sais pas,0,1,0
4732,t'es profondément tarte,0,0,1
85,j'ai dit oui,0,1,0
441,chaussure pour filles,0,1,0
9792,qui êtes vous,1,0,0
112,ballerine est ce que je veux,0,1,0
3757,je suis hyper vert de rage,0,0,1
4527,je me sens déprimé depuis un moment,0,0,1
8893,pourquoi tu es pas contente,0,0,1
1643,euh moyen,0,1,0
7544,fais-moi rire,0,0,1
9022,je vais me balancer du toit d'un immeuble,0,0,1
3253,t'es trop au top,0,0,1
8175,t’es carrément trop niais,0,0,1
3623,est-ce que j’ai encore mes grands parents,0,0,1
4631,J'ai pété,0,0,1
562,moccasin peut etre,0,1,0
1994,est-ce que je te plais un peu,0,0,1
5910,tu es dangereux pour l’univers,0,0,1
2704,je suis heureux de faire votre connaissance,0,0,1
4900,est-ce que tu sais qui est ta mère,0,0,1
9341,quel est votre numero de telephone,1,0,0
6120,avec qui tu es fiancée,0,0,1
8906,je voudrais vraiment un câlin,0,0,1
7562,peux-tu me raconter un truc me faire rire,0,0,1
1648,non merci,0,1,0
7191,est-ce que tu peux dire ton petit nom,0,0,1
9741,quelle est votre adresse de point de vente en gros,1,0,0
3980,je m'ennuie carrément,0,0,1
1515,oui,0,1,0
2795,ravie de faire ta connaissance,0,0,1
6154,tu craques pour qui,0,0,1
3384,j’ai l’impression que tu craques pour moi,0,0,1
321,je cherche une soirée sandale pour les filles,0,1,0
3039,qu'est-ce que tu racontes d'original,0,0,1
3454,tu me séduis,0,0,1
844,proposez mw des mocassins pas chers,0,1,0
8925,je veux vraiment un câlin,0,0,1
5920,tu essaies de nous dominer,0,0,1
2586,une bonne nuit mon amie,0,0,1
8885,dis-moi pourquoi tu m'aimes pas vraiment,0,0,1
6989,tu as été créée pourquoi faire,0,0,1
6564,Pose-moi des questions,0,0,1
7113,tu es un gars ou une fille,0,0,1
422,merci ciao,0,1,0
1415,uh ma3lich demi talon,0,1,0
2291,ciao très chère,0,0,1
7235,réponds-moi quelque chose d'autre,0,0,1
574,taille svp,0,1,0
7707,je suis calme,0,0,1
6306,où t'es basée,0,0,1
8576,qu’est-ce que c’est que cette réponse affligeante,0,0,1
5913,est-ce que tu veux nuire à l’humanité,0,0,1
9736,faites vous de la vente en gros,1,0,0
7120,tu es femelle,0,0,1
2712,c'est un plaisir de faire ta connaissance,0,0,1
1859,est-ce que je dois arrêter de psychoter,0,0,1
624,oui prk pas,0,1,0
4438,qu'est-ce que j'aime le bon vin,0,0,1
3317,je t'adore trop,0,0,1
8322,penses-tu vraiment que c'est drôle,0,0,1
6764,Dis-moi c'est qui ton patron,0,0,1
7340,je te congédie aujourd'hui,0,0,1
9556,comment puis je vous trouver sur instagram,1,0,0
661,oui oui pour garçons,0,1,0
310,quelle est la gamme de taille,0,1,0
1871,je dois aller chez le médecin,0,0,1
6122,tu kiffes pour qui,0,0,1
272,sandala ta3 sif,0,1,0
1039,je cherche des chaussure classik pour les garçon,0,1,0
8317,crois-tu que c'était marrant,0,0,1
3911,bouge pas je re,0,0,1
627,oui prk pas,0,1,0
2986,je te souhaite un bon nouvel an,0,0,1
2650,est-ce que tu as eu une chouette journée jusqu'ici,0,0,1
2629,dis comment est ta journée,0,0,1
7694,je suis vendeuse,0,0,1
1264,prix modéré peut etre,0,1,0
9767,donnez moi vos heures d'ouverture,1,0,0
7511,tu peux me dire quelque chose de drôle,0,0,1
9645,quelle sont vos horaires d'ouverture le jeudi,1,0,0
9818,assurez vous la livraison,1,0,0
1326,olala j'ai dit clairement converse !,0,1,0
785,pour les petites filles,0,1,0
9528,quelle sont vos heures d'ouverture le jeudi,1,0,0
8131,tu es vraiment trop niais,0,0,1
8894,pourquoi tu es en colère,0,0,1
3865,je suis vraiment hyper colère,0,0,1
7500,tu peux me dire un truc rigolo,0,0,1
2424,mais ce n'était rien,0,0,1
4751,je te trouve sacrément inintéressante,0,0,1
6827,Est-ce que tu peux envoyer un colis,0,0,1
8684,bin yes,0,0,1
8042,tu balances,0,0,1
4318,je me sens par moments vraiment super seule,0,0,1
437,je men fous,0,1,0
4872,t'as des fils,0,0,1
5468,à ton avis de nous deux dis-moi qui est le plus beau,0,0,1
7209,Sais-tu répondre une autre réponse,0,0,1
1691,des chaussures pour filles,0,1,0
8147,Bixby est meilleure que toi,0,0,1
9589,quelle sont vos heures de travail le mercredi,1,0,0
5599,entre toi et moi qui est le plus brillant,0,0,1
2819,heureux de faire ta connaissance,0,0,1
3633,sérieux tu me manques beaucoup,0,0,1
7810,je suis germanophile,0,0,1
4321,je me sens par moments super seule,0,0,1
1355,kach haja,0,1,0
5644,tu trouves que t'es plus malin,0,0,1
3978,je m'emmerde de ouf,0,0,1
3828,je n'ai jamais été autant colère,0,0,1
5030,t'as parfois envie de bouffer,0,0,1
2545,bonne nuitée vous,0,0,1
1121,je ne veux pas de baskets,0,1,0
2946,je te souhaite une joyeuse fête du travail,0,0,1
8361,t'es vraiment déguelasse,0,0,1
398,des mocassins par contre ?,0,1,0
3700,quel est ton avis à mon sujet,0,0,1
5041,tu as des fois faim,0,0,1
5263,Est-ce que tu discutes avec des chatbots,0,0,1
2607,comment c'est ta journée,0,0,1
6833,Est-ce que tu peux me brosser les temps,0,0,1
7162,est-ce que tu veux me dire ton nom,0,0,1
1362,hahaha,0,1,0
7896,est-ce que tu es capable de chanter de la musique,0,0,1
3399,est-ce que tu est programmé pour tomber amoureux de moi,0,0,1
4006,je suis comblé ce matin,0,0,1
8279,tu penses vraiment que c'était amusant,0,0,1
8065,tu es nul,0,0,1
2336,merci merci,0,0,1
7089,est-ce que tu es une femelle,0,0,1
2700,heureuse de vous rencontrer,0,0,1
692,okay meric a plus,0,1,0
842,proposez mw des mocassins pas chers,0,1,0
4277,mes amies sont loin,0,0,1
708,dcr qu'es que vous avez comme pentoufle a bon marché,0,1,0
6730,tu sais aller aux toilettes,0,0,1
6965,tu sais faire quoi,0,0,1
2798,je suis charmée de te rencontrer,0,0,1
8785,t'es vraiment désopilant,0,0,1
5490,c'est lequel le plus beau entre toi et moi selon toi,0,0,1
3080,tu peux être ma meilleure copine,0,0,1
8075,tu es carrément trop nase,0,0,1
8753,c'est drôle,0,0,1
5082,quels plats aimes-tu,0,0,1
6602,Est-ce que tu sais éternuer,0,0,1
2793,salutations Assistant Google,0,0,1
8850,dis-moi pourquoi tu ne m'apprécies pas trop,0,0,1
9287,quelle est votre adresse,1,0,0
1242,avec prix raisonable,0,1,0
9756,cherchez vous des vendeurs,1,0,0
8523,c’est quoi cette réponse de bolos,0,0,1
1967,je te pas du tout,0,0,1
956,je cherche des grandes pointures,0,1,0
5632,tu es plus smart,0,0,1
555,nn bye,0,1,0
3453,tu m’as séduite,0,0,1
9546,quelle est votre adresse de point de vente en gros,1,0,0
4494,je me sens déprimée,0,0,1
2735,Siri hi,0,0,1
8222,Ta blague est ratée,0,0,1
6569,Tu veux bien me poser des questions sur moi,0,0,1
4111,tu as compris que je te mettais en boîte,0,0,1
6820,Tu peux prédire l'avenir,0,0,1
2328,à plus très cher,0,0,1
7011,tu connais ton développeur,0,0,1
2592,c'est comment ta journée aujourd'hui,0,0,1
1021,chaussures,0,1,0
4130,je fais une plaisanterie,0,0,1
2414,oui grave,0,0,1
4113,tu as pas vu que je te taquinais,0,0,1
6161,est-ce que tu peux parler,0,0,1
7460,je veux bien des blagues,0,0,1
6089,es-tu fiancé,0,0,1
2477,bonjour bon matin,0,0,1
9479,quelle est votre adresse de point de vente en détail,1,0,0
9486,comment puis je vous trouver sur facebook,1,0,0
6652,tu peux dormir,0,0,1
5200,tu parles avec Siri,0,0,1
3966,qu'est-ce que je m'ennuie,0,0,1
1807,oui,0,1,0
9273,donnez moi votre site web internet,1,0,0
2352,vraiment merci,0,0,1
7181,tu aurais un prénom,0,0,1
5761,Dis-moi si tu aimes tes concurrents,0,0,1
718,c bien sahit,0,1,0
6194,tu veux qu'on chatte,0,0,1
1324,olala j'ai dit clairement converse !,0,1,0
2279,bon vent très cher,0,0,1
6484,Tu dois me demander quelque chose sur moi,0,0,1
3836,je n'ai vraiment jamais été autant véner,0,0,1
6651,Aimerais-tu dormir,0,0,1
7027,qui t'a fabriquée,0,0,1
9679,où est située votre entreprise,1,0,0
601,femmes,0,1,0
5608,est-ce que tu sais que je suis plus intelligent que toi,0,0,1
4291,qu'est-ce que je suis seule,0,0,1
1899,tu penses que je devrais aller voir le médecin,0,0,1
1201,puis js obtenir les pointures et les couleurs,0,1,0
5951,es-tu intelligente,0,0,1
8000,c'est vraiment chanmé,0,0,1
223,je voudrais une sabot soirée pas chère,0,1,0
474,makach wahed pas chere chwiya,0,1,0
9577,quelle sont vos horaires d'ouverture le vendredi,1,0,0
9344,votre adresse electronique,1,0,0
7290,Je suis saoulé des mêmes réponses,0,0,1
1236,je voulais de trouver des chaussure soirée a prix modéré,0,1,0
6270,t'es pas un chatbot,0,0,1
2043,est-ce que tu me trouves stylé physiquement,0,0,1
9796,quel est votre numero de telephone,1,0,0
6041,es-tu brillant,0,0,1
2576,une bonne nuit mon cher,0,0,1
751,exactement,0,1,0
6099,as-tu un mec,0,0,1
1838,à ton avis est-ce que je devrais aller chez le médecin,0,0,1
7498,peux-tu me raconter un truc rigolo,0,0,1
8977,on fait petit un câlin,0,0,1
9228,donnez moi votre page facebook,1,0,0
129,combien ça coûte?,0,1,0
9821,cherchez vous des vendeurs,1,0,0
1579,non merci beaucoup,0,1,0
3439,parce que tu as pris mon cœur,0,0,1
2287,bye bye très cher,0,0,1
7773,je suis petite,0,0,1
6678,Sais-tu bailler,0,0,1
7974,tu es le meilleur,0,0,1
7155,tu pourrais dire ton nom,0,0,1
8412,Je te trouve pas belle,0,0,1
4619,pourquoi est-ce que je suis déprimé,0,0,1
1766,je n'aime pas celui ci,0,1,0
8942,j’aurais besoin d’un gros câlin,0,0,1
1652,ce n'est pas grave,0,1,0
9505,donnez moi vos horaires d'ouverture,1,0,0
2452,tu es capable d'expliquer ta réponse,0,0,1
9801,faites vous de la vente en gros,1,0,0
9310,donnez moi vos horaires d'ouverture,1,0,0
8840,je te fais un tcheck,0,0,1
2283,à la revoyure très cher,0,0,1
9316,quelle sont vos horaires d'ouverture le mardi,1,0,0
963,je ne sais pas ce que je veux,0,1,0
2122,veuillez accepter mes excuses,0,0,1
7141,est-ce que tu veux me dire comment tu t'appelles,0,0,1
284,j'ai besoin de chaussures pour hommes,0,1,0
8796,je ris avec tes blagues,0,0,1
3748,je suis vraiment folle furieuse,0,0,1
6986,t'as été imaginé  pour faire quoi,0,0,1
9484,où est située votre entreprise,1,0,0
4064,j'ai tellement une faim de loup,0,0,1
5982,t'es vive,0,0,1
7871,t'es capable de chanter,0,0,1
3875,je l'ai hyper trop mauvaise,0,0,1
1708,"bonjour, je veux des baskets",0,1,0
5555,qui est le plus malin de nous deux,0,0,1
1153,merci au revoir,0,1,0
3496,parce que je suis trop folle de toi,0,0,1
6460,quelle année es-tu né,0,0,1
9110,je veux me foutre sous un camion,0,0,1
7399,des blagues,0,0,1
3455,je suis complètement en amour de toi,0,0,1
457,moins cher,0,1,0
4532,je me sens vraiment toute déprimée,0,0,1
3791,je suis énervée,0,0,1
1776,oui,0,1,0
5047,est-ce que t'as parfois la dalle,0,0,1
5168,Est-ce que tu vois qui est Google Assistant,0,0,1
1928,je devrais faire du rangement,0,0,1
2006,est-ce que je plais beaucoup aux femmes,0,0,1
5891,est-ce que tu essaies de devenir le maître de l’univers,0,0,1
4999,tu peux sentir la faim,0,0,1
9016,j’ai envie de me jeter du toit d'un immeuble,0,0,1
3691,est-ce que tu penses que je suis cool,0,0,1
7855,est-ce que tu veux bien chanter quelque chose,0,0,1
9239,vos produits articles sont fabriqués localement ou importés,1,0,0
3627,est-ce que j’ai un enfant,0,0,1
1849,je dois changer,0,0,1
5258,tu échanges avec des chatbots,0,0,1
8786,t'es vraiment comique,0,0,1
5712,Est-ce que tu aimes Bixby,0,0,1
8945,je veux que tu me serres dans tes bras,0,0,1
260,je cherche une chaussure chère pour mon petit frère,0,1,0
1349,combien ca coûte ?,0,1,0
1598,oui dsl,0,1,0
8875,tu ne m'apprécies pas du tout,0,0,1
863,a la recherche de quelque chose à prix modéré pour les filles,0,1,0
2583,gute nacht copain,0,0,1
4710,Je suis dans le mal,0,0,1
1068,j'ai besoin d'1 mocassin compensé,0,1,0
2483,bonne matinée très chère,0,0,1
8023,tu es carrément forte,0,0,1
4495,pourquoi est-ce que je suis tellement déprimée,0,0,1
9460,quelle sont vos heures de travail le lundi,1,0,0
9295,donnez moi votre compte insta,1,0,0
9927,donnez moi votre adresse email,1,0,0
9447,quelle sont vos horaires d'ouverture le vendredi,1,0,0
6005,tu penses que t'es au taquet,0,0,1
6045,tu penses que tu es vive,0,0,1
7323,je veux te virer,0,0,1
3628,est-ce que j’ai un frère,0,0,1
4207,je suis vraiment hyper seul,0,0,1
8380,Je suis sûre que t'es moche,0,0,1
1279,daccord,0,1,0
6740,Dis-moi qui est ton chef,0,0,1
1955,est-ce que je ne plais pas vraiment,0,0,1
2261,on se dit tchuss,0,0,1
7751,je suis célibataire,0,0,1
360,jsp,0,1,0
8496,c’est une réponse carrément stupide,0,0,1
5747,Donne ton avis sur Google Assistant,0,0,1
7017,sais-tu qui est ton développeur,0,0,1
7172,veux-tu me dire ton petit nom,0,0,1
4145,mais c'était pour déconner,0,0,1
2002,je ne te pas,0,0,1
7695,je suis algérienne,0,0,1
2983,je te souhaite une bonne journée des droits des femmes,0,0,1
3532,quand est-ce qu’on se passera la bague au doigt,0,0,1
8193,Google est meilleur,0,0,1
960,je pense pas,0,1,0
9053,j’ai envie de me balancer sous un train,0,0,1
8624,c'est entendu,0,0,1
5002,est-ce qu'il t'arrive des fois d'avoir envie de manger,0,0,1
834,je cherche des moccassins pour hommes,0,1,0
5701,c'est quoi ce que tu penses sur la tech aujourd'hui,0,0,1
3371,on dirait tu me kiffes trop,0,0,1
7477,peux-tu raconter un truc me faire rire,0,0,1
8780,tu es une pitre,0,0,1
8967,fais-moi un gros câlin,0,0,1
3146,je veux être ton meilleur pote,0,0,1
6984,tu as été imaginé  pour quoi,0,0,1
794,et comme pointures ?,0,1,0
1318,je ne m'en soucie plus,0,1,0
786,pour les petites filles,0,1,0
9117,test est-ce que ça fontionne allo,0,0,1
3069,peux-tu être ma meilleure pote,0,0,1
7468,je veux rire,0,0,1
3898,je reviens dans 2 minutes,0,0,1
3411,est-ce que tu kifferas sur moi,0,0,1
7237,tu veux bien dire autre chose,0,0,1
7547,est-ce que tu es capable de me faire rire,0,0,1
1303,je cherche des baskets,0,1,0
6366,où es-tu située là,0,0,1
8959,je voudrais vraiment que tu me prennes dans tes bras,0,0,1
2940,je vous souhaite une joyeuse fête du travail,0,0,1
7387,est-ce que tu peux raconter une blague,0,0,1
2726,Siri aloha,0,0,1
484,mocassin,0,1,0
3818,je suis super contrarié,0,0,1
2058,je suis attirant aujourd'hui,0,0,1
6405,dis-moi quand est ton anniversaire,0,0,1
534,quelle est sa gamme de prix,0,1,0
1554,pour les femmes,0,1,0
950,donne mw les pointures disponible,0,1,0
2572,une bonne nuit ma chère,0,0,1
2067,je suis attirant,0,0,1
7452,j'aimerais que tu dises des blagues,0,0,1
4569,j'en peux plus de me sentir triste,0,0,1
568,je veux quelque chose pour les garçons,0,1,0
1940,je devrais aller chez le coiffeur,0,0,1
567,merci a bientot,0,1,0
9012,j’ai envie de me jeter du toit,0,0,1
9692,je cherche un emploi,1,0,0
1723,sil,0,1,0
2694,plaisir de te rencontrer,0,0,1
7710,je suis jeune,0,0,1
3088,tu veux être mon meilleur pote,0,0,1
3544,je voudrais t’épouser,0,0,1
5193,Est-ce que tu vois qui est Siri,0,0,1
2948,je vous souhaite une joyeuse armistice,0,0,1
1414,uh ma3lich demi talon,0,1,0
2167,J'ai littéralement rien compris,0,0,1
6659,Es-tu capable de roter,0,0,1
687,donne mw son prix,0,1,0
4345,je suis parfois hyper seule,0,0,1
5774,Est-ce que tu aimes les autres assistants virtuels,0,0,1
1072,et d'un talon plat ?,0,1,0
5507,dis-moi qui est la plus belle de nous deux,0,0,1
6150,c’est qui ta petite amie,0,0,1
7488,est-ce que tu peux me raconter quelque chose humoristique,0,0,1
9370,quelle sont vos heures d'ouverture le vendredi,1,0,0
1820,tout,0,1,0
224,avez vous autre chose?,0,1,0
9638,que vendez vous,1,0,0
7473,balance-moi des vannes,0,0,1
2199,je te dis au revoir,0,0,1
382,byyyye,0,1,0
7483,raconte-moi un truc drôle,0,0,1
9731,quel est votre numero de telephone,1,0,0
9800,d'où vous importez vos produits,1,0,0
6855,Tu peux sauter,0,0,1
8318,Est-ce que tu penses que c'était marrant,0,0,1
6538,C'est l'heure de me poser une question,0,0,1
2836,charmé de vous connaître,0,0,1
3753,je suis vraiment trop contrariée,0,0,1
5334,c'est quoi la cuisine que tu préfères,0,0,1
6225,est-ce que tu es un homme,0,0,1
6063,est-ce que tu as une copine,0,0,1
9090,je pense à me mettre sous le bus,0,0,1
2596,c'est stylé ta journée jusqu'ici,0,0,1
5021,est-ce que tu peux sentir la faim,0,0,1
9197,quelle sont vos heures d'ouverture le dimanche,1,0,0
4271,je me sens parfois vraiment très seul,0,0,1
4703,Je voyagerai bientôt,0,0,1
2860,je suis enchanté,0,0,1
1913,à ton avis est-ce que je devrais aller chez ma mère,0,0,1
8667,d'acc pas de soucis,0,0,1
8665,bien c'est sûr,0,0,1
6696,t'aimerais péter,0,0,1
4394,j'aime ma mère,0,0,1
7107,tu es masculine ou féminine,0,0,1
3402,Tu ne serais pas sur le point de craquer pour moi,0,0,1
5375,explique-moi le sens de la vie,0,0,1
936,comment ? impossible tu me connais,0,1,0
9114,je veux me foutre en l'air,0,0,1
3743,Je vais vraiment péter gravement les plombs,0,0,1
9619,avez vous un compte instagram,1,0,0
9652,quelle sont vos heures d'ouverture le dimanche,1,0,0
2399,ouaip absolument,0,0,1
6524,Tu sais poser une question sur moi,0,0,1
7745,je suis communiste,0,0,1
6971,c'est quoi tes capacités,0,0,1
6557,Est-ce que tu sais me poser des questions,0,0,1
5653,quoi penser de la technologie,0,0,1
5835,est-ce que tu essaies de détruire les humains,0,0,1
1094,des chaussures a prix modéré,0,1,0
3817,je suis super furieux,0,0,1
9527,quelle sont vos heures de travail le samedi,1,0,0
5722,Est-ce que tu aimes bien Alexa,0,0,1
6853,Tu peux lire mes e-mails,0,0,1
1289,mocassin,0,1,0
6779,est-ce que t'as un patron,0,0,1
177,je cherche une chaussure pas chère pour ma fille,0,1,0
6073,tu as une fiancée,0,0,1
6157,est-ce que tu veux bien qu'on échange,0,0,1
2438,sais-tu m'expliquer,0,0,1
665,tres bien,0,1,0
5634,tu trouves que tu es plus brillant que moi,0,0,1
7954,t'es classe,0,0,1
5968,tu sais que t'es vif toi,0,0,1
7994,bien joué,0,0,1
9270,que vend votre entreprise,1,0,0
5187,Est-ce que tu échanges avec Siri,0,0,1
3997,je suis heureux ce matin,0,0,1
9115,dis est-ce que ça marche allo,0,0,1
660,oui oui pour garçons,0,1,0
8896,pourquoi tu es énervée,0,0,1
4215,je me sens très souvent vraiment tout seul,0,0,1
261,je cherche une chaussure chère pour mon petit frère,0,1,0
4875,as-tu une mère,0,0,1
657,je suis dsl,0,1,0
4742,t'es vraiment sans intérêt,0,0,1
3417,tu est conçue pour craquer pour moi,0,0,1
8998,je pense à me balancer d'un toit,0,0,1
1244,ya autre chose ?,0,1,0
4009,je suis enchanté ce matin,0,0,1
8104,tu es vraiment pathétique,0,0,1
103,non je cherche des chaussures homme,0,1,0
1715,justement,0,1,0
7955,tu es fort,0,0,1
2411,oui totalement,0,0,1
5013,est-ce que tu peux parfois ressentir l'envie de manger,0,0,1
5825,tu veux nous détruire,0,0,1
6677,Est-ce que c'est possible pour toi de dormir,0,0,1
3348,Tu ne serais pas sur le point de succomber à mes charmes par hasard,0,0,1
2951,je vous souhaite une joyeuse journée des droits des femmes,0,0,1
9874,où est située votre entreprise,1,0,0
9283,comment vendez vous vos produits,1,0,0
8282,tu crois que c'est rigolo,0,0,1
4427,j'adore être paresseux,0,0,1
6870,Tu peux faire à déjeuner,0,0,1
6552,Tu aimerais bien me poser des questions,0,0,1
1176,hommes,0,1,0
9743,donnez moi votre emplacement,1,0,0
1927,je devrais faire mes devoirs,0,0,1
2319,au revoir maintenant,0,0,1
2703,je suis content de faire ta connaissance,0,0,1
5321,c'est qui le livre que tu préfères,0,0,1
8984,j’ai envie de sauter du toit d'un immeuble,0,0,1
1586,et les pointures ?,0,1,0
9426,comment puis je vous trouver sur instagram,1,0,0
1991,je plais aux filles,0,0,1
5808,est-ce que tu veux exterminer les humains,0,0,1
2156,Tu m'as perdu,0,0,1
3855,Je pète vraiment une durite,0,0,1
4286,je m'emmerde toute seule,0,0,1
8731,haha c'est comique,0,0,1
8077,tu es carrément trop idiote,0,0,1
5270,c'est quoi ton artiste préféré,0,0,1
4045,je me sens contente,0,0,1
7671,je suis pâtissier,0,0,1
6750,Dis-moi qui est-ce qui est ton patron,0,0,1
5744,Est-ce que tu aimes l'Assistant Google,0,0,1
6271,tu n'es pas un homme,0,0,1
2710,enchantée de faire ta connaissance,0,0,1
1671,autre chose !?,0,1,0
7166,je m'adresse à toi de quelle manière,0,0,1
8216,tu me fais pas rire,0,0,1
1550,jai rien dit !,0,1,0
3684,je voulais te dire que tu me manques tellement,0,0,1
8188,tu as pas inventé l’eau chaude,0,0,1
5752,Aimes-tu bien Google Assistant,0,0,1
9402,qui êtes vous,1,0,0
6443,tu es né en quelle année,0,0,1
2840,heureuse de faire ta connaissance,0,0,1
2519,une bonne nuit pour vous,0,0,1
5102,est-ce qu'il t'arrive des fois de te sustenter,0,0,1
1161,avez vous quoi que ce soit d'autre,0,1,0
631,tailles ?,0,1,0
4806,je trouve que t'es super inintéressant,0,0,1
502,jai besoin d'une chaussure de type blanche pour homme,0,1,0
9187,quelle sont vos horaires d'ouverture le vendredi,1,0,0
7135,tu pourrais me dire ton prénom,0,0,1
1373,Peu importe,0,1,0
9809,où est située votre entreprise,1,0,0
4801,je trouve que t'es super ennuyeuse,0,0,1
1031,na pas d'importance,0,1,0
6742,c'est qui ton chef,0,0,1
67,existe-t-il des mocassins bon marché ?,0,1,0
1194,oui,0,1,0
6100,as-tu une chérie,0,0,1
3613,est-ce que j’ai un époux,0,0,1
3936,ne t'inquiète pas je reviens,0,0,1
8404,t'es vraiment cheum,0,0,1
585,je cherche des chaussures pour filles à prix raisonable,0,1,0
6011,tu penses que tu es perspicace,0,0,1
8831,ah tape m'en 5,0,0,1
478,sabo,0,1,0
3467,je te kiffe complètement,0,0,1
3356,Tu ne serais pas en kiff pour moi,0,0,1
4871,je trouve que tu es sacrément barbante,0,0,1
7908,je voudrais bien une chanson,0,0,1
8311,penses-tu que c'était amusant,0,0,1
814,je cherche des chaussures chères pour femmes,0,1,0
4811,je trouve que t'es barbante,0,0,1
962,je ne sais pas ce que je veux,0,1,0
4663,Je veux boire des coups,0,0,1
8026,tu es carrément pas bête,0,0,1
9194,quelle sont vos heures d'ouverture le lundi,1,0,0
6522,C'est le moment de poser une question sur moi,0,0,1
927,je voudrais une fillette à prix modéré,0,1,0
9438,quelles sont vos horaires d'ouverture,1,0,0
2914,joyeux premier avril,0,0,1
2,que pouvez vs faire ?,0,1,0
3259,tu es trop classe,0,0,1
7208,Est-ce que tu sais répondre une autre réponse,0,0,1
9780,quelle sont vos horaires d'ouverture le samedi,1,0,0
5276,dis-moi qu'est-ce que ton son préféré,0,0,1
2587,good night mon amie,0,0,1
8113,tu es idiot,0,0,1
3096,tu veux bien être mon ami,0,0,1
6872,Tu peux faire à dîner,0,0,1
605,c semble bien,0,1,0
273,sandala ta3 sif,0,1,0
8717,ok c'est sûr,0,0,1
2205,il faut que je te laisse,0,0,1
7212,tu sais dire une autre réponse,0,0,1
9724,qu'offre votre entreprise,1,0,0
7993,bien vu,0,0,1
1383,tous les deux,0,1,0
548,prix ?,0,1,0
4315,je suis vraiment seule,0,0,1
2669,je suis ravi de te rencontrer,0,0,1
7263,J'en ai assez de ces réponses,0,0,1
9237,je cherche un emploi,1,0,0
3048,tu racontes quoi de neuf,0,0,1
853,donne mw le prix,0,1,0
1933,est-ce que je dois manger moins de viande,0,0,1
92,et les couleurs ?,0,1,0
8691,grave c'est sûr,0,0,1
2744,salut HAL,0,0,1
882,je cherche des sabot pour femmes,0,1,0
3083,est-ce que tu peux être ma meilleure copine,0,0,1
8773,trop désopilant,0,0,1
4222,je me sens très seule,0,0,1
6681,Est-ce que tu sais péter,0,0,1
9785,quelle sont vos heures de travail le lundi,1,0,0
7417,est-ce que tu peux me donner une blague,0,0,1
2248,hasta la vista,0,0,1
7606,la ferme je ne veux plus t’entendre,0,0,1
126,"je ne sais pas, propose moi quelque chose",0,1,0
1881,je dois faire du rangement,0,0,1
1412,y a til autre chose,0,1,0
8465,ta réponse est bête,0,0,1
6324,t'es présent où,0,0,1
386,oui,0,1,0
5322,c'est lequel le livre que tu préfères,0,0,1
4227,je me sens parfois toute seule,0,0,1
8258,ta blague est pas drôle du tout,0,0,1
4012,je suis triomphante,0,0,1
3857,Je pète vraiment un plomb,0,0,1
4342,je suis parfois vraiment hyper seule,0,0,1
4498,ça fait un bon moment que je suis déprimé,0,0,1
9441,donnez moi vos horaires de travail,1,0,0
9861,quel est votre numero de telephone,1,0,0
7001,t'as été imaginé  pourquoi faire,0,0,1
5753,T'aimes bien Google Assistant,0,0,1
4108,tu as vu que je te taquinais,0,0,1
6848,Tu peux lire dans mes pensées,0,0,1
2937,joyeuse fête,0,0,1
3750,je suis vraiment trop en colère,0,0,1
2782,Alexa salut,0,0,1
4432,j'aime tellement les vieux tubes,0,0,1
1993,je plais aux gens,0,0,1
4677,Rien,0,0,1
6334,t'es présente où en ce moment,0,0,1
6227,est-ce que t'es un homme,0,0,1
2979,je vous souhaite une très bonne fête du travail,0,0,1
1875,je dois ranger,0,0,1
6027,tu crois que t'es vif,0,0,1
4945,qui sont tes parents,0,0,1
66,existe-t-il des mocassins bon marché ?,0,1,0
9106,la mort serait une délivrance,0,0,1
2818,heureux de te connaître,0,0,1
5089,as-tu déjà goûté une pizza,0,0,1
2354,thank,0,0,1
988,autre que celui ci,0,1,0
1721,merci,0,1,0
3095,tu peux être mon pote,0,0,1
9587,quelle sont vos heures d'ouverture le dimanche,1,0,0
6902,Tu sais lire mes pensées,0,0,1
4255,je me sens tout seul,0,0,1
9786,quelle sont vos horaires d'ouverture le lundi,1,0,0
6123,tu kiffes qui,0,0,1
691,quel sont les couleurs et taille disponible,0,1,0
6391,c’est quand ton anniv,0,0,1
6508,Est-ce que tu sais me poser une question sur moi,0,0,1
5083,Est-ce que tu aimes manger,0,0,1
9175,est-ce que ça marche correctement,0,0,1
1548,Huummm,0,1,0
3236,à ton avis crois-tu qu'il soit possible de m'aimer bien,0,0,1
2271,ciao ma chère,0,0,1
4639,Il faut que je bosse,0,0,1
7813,peux-tu chanter une ballade,0,0,1
9249,quelle sont vos horaires d'ouverture le dimanche,1,0,0
7869,chante-moi,0,0,1
7711,je suis charrette,0,0,1
9258,quelle sont vos heures de travail le mardi,1,0,0
3854,je n'ai jamais été autant contrariée,0,0,1
1001,ouiii oui,0,1,0
9901,quelle sont vos horaires d'ouverture le mardi,1,0,0
8544,c’est tout ce que tu trouves à me répondre,0,0,1
2381,sans aucun doute,0,0,1
7319,tu es renvoyée,0,0,1
3149,j'ai envie d'être ton meilleur ami,0,0,1
