Question,Answer
c'est cool merci,Je vous en prie.
thx,Je vous en prie.
c'est super gentil merci,Je me tiens à votre disposition.
thanks,Avec plaisir.
je te remercie de ouf,À votre service.
merci,À votre service.
c'est très gentil merci,Je vous en prie.
c'est gentil merci,Je vous en prie.
merci bien,Avec plaisir.
merci c'est très cool,Je suis à votre service !
merci c'est cool,Je vous en prie.
merci c'est vrai,Je me tiens à votre disposition.
merci c'est super gentil,Je vous en prie.
merci c'est très gentil,Je vous en prie.
merci c'est gentil,À votre service.
je te remercie clairement,À votre service.
c'est vrai merci,Avec plaisir.
je te remercie grave,Je me tiens à votre disposition.
je te remercie vraiment beaucoup,Avec plaisir.
je te remercie beaucoup,Je vous en prie.
je te remercie vraiment,Je vous en prie.
je te remercie,Avec plaisir.
merci vraiment beaucoup,Avec plaisir.
merci vraiment,Je suis à votre service !
merci du fond du cœur,Je vous en prie.
je te dis franchement merci,Je suis à votre service !
je te dis vraiment merci,Je me tiens à votre disposition.
vraiment merci,Je vous en prie.
merci beaucoup,Je vous en prie.
je vous remercie,Je vous en prie.
thank you,Je me tiens à votre disposition.
thank,Je suis à votre service !
mes remerciements,Je suis à votre service !
je vous remercie clairement,Je me tiens à votre disposition.
je vous remercie à mort,Avec plaisir.
je vous remercie grave,Je me tiens à votre disposition.
je vous remercie de ouf,Je vous en prie.
je vous remercie vraiment beaucoup,Je suis à votre service !
je vous remercie beaucoup,Je me tiens à votre disposition.
je vous remercie tellement,Je vous en prie.
thank you very much,Je me tiens à votre disposition.
je te remercie tellement,Je vous en prie.
tellement merci,Je suis à votre service !
trop bien merci,Avec plaisir.
ça le fait merci,Avec plaisir.
au top merci,Je vous en prie.
super merci,À votre service.
cool merci,Je vous en prie.
bien merci,Je vous en prie.
c'est très cool merci,Je suis à votre service !
tu as raison,Excellent.
c'est totalement vrai,Précisément.
ouais grave,Précisément.
mais je t'en prie,Précisément.
mais c'est rien,Parfait !
yes totalement,Super.
littéralement,Super.
mais je suis à ton service,Parfait !
ouaip précisément,Parfait !
mais pas de quoi,Précisément.
tu as totalement raison,Précisément.
tu es dans le vrai,Précisément.
c'est grave,Précisément.
c'est vrai,Super.
je suis ok,Formidable.
je suis d'accord,Excellent.
je suis bien d'accord,Excellent.
je suis de ton côté,Formidable.
je suis de ton avis,Formidable.
je te suis,Super.
je valide,Excellent.
affirmatif,Parfait !
c'est littéralement vrai,Super.
tu as grave raison,Excellent.
c'est parfaitement vrai,Précisément.
tu as bien raison,Parfait !
tu as parfaitement raison,Excellent.
tu as entièrement raison,Précisément.
t'as raison,Formidable.
t'as grave raison,Formidable.
t'as totalement raison,Parfait !
t'as bien raison,Excellent.
t'as parfaitement raison,Précisément.
t'as entièrement raison,Précisément.
sans doute,Formidable.
sans aucun doute,Parfait !
vrai,Super.
totalement vrai,Super.
tout à fait,Super.
absolument,Formidable.
correct,Parfait !
totalement,Précisément.
complètement,Parfait !
à fond,Parfait !
parfaitement,Parfait !
précisément,Excellent.
grave,Excellent.
tout à fait vrai,Formidable.
c'est précisément vrai,Super.
correct vrai,Formidable.
tu es correct,Précisément.
complètement vrai,Excellent.
à fond vrai,Super.
parfaitement vrai,Précisément.
littéralement vrai,Précisément.
précisément vrai,Formidable.
grave vrai,Précisément.
c'est tout à fait vrai,Formidable.
c'est absolument vrai,Super.
c'est correct vrai,Excellent.
c'est complètement vrai,Super.
c'est à fond vrai,Parfait !
absolument vrai,Parfait !
ah correct,Super.
je n'en ai aucun doute,Excellent.
yes parfaitement,Parfait !
yes littéralement,Super.
yes précisément,Formidable.
yes grave,Excellent.
ouaip sans nul doute,Super.
ouaip tout à fait,Précisément.
ouaip absolument,Parfait !
ouaip correct,Formidable.
ouaip totalement,Précisément.
ah à fond,Précisément.
yes complètement,Formidable.
ah complètement,Précisément.
ah grave,Formidable.
ah littéralement,Super.
ah parfaitement,Super.
ah précisément,Précisément.
ah sans nul doute,Excellent.
ah totalement,Formidable.
ah tout à fait,Excellent.
ouaip à fond,Parfait !
ouaip complètement,Excellent.
ouaip grave,Formidable.
ouaip littéralement,Précisément.
ouaip parfaitement,Super.
ah absolument,Précisément.
ouais absolument,Excellent.
sans nul doute,Parfait !
oui tout à fait,Formidable.
oui absolument,Excellent.
oui correct,Précisément.
oui totalement,Super.
oui complètement,Excellent.
oui à fond,Parfait !
oui parfaitement,Parfait !
oui littéralement,Précisément.
oui précisément,Excellent.
oui grave,Précisément.
yes à fond,Super.
ouais tout à fait,Excellent.
ouais correct,Excellent.
ouais totalement,Super.
ouais complètement,Précisément.
ouais à fond,Super.
ouais parfaitement,Précisément.
ouais littéralement,Formidable.
ouais précisément,Précisément.
yes sans nul doute,Excellent.
yes tout à fait,Excellent.
yes absolument,Parfait !
yes correct,Super.
ouais sans nul doute,Formidable.
je t'en prie,Super.
je vous en prie,Parfait !
mais je vous en prie,Parfait !
mais de rien,Excellent.
mais ce n'est rien,Super.
mais ce n'était rien,Super.
mais à ton service,Précisément.
j't'en prie,Parfait !
mais à votre service,Précisément.
y'a pas de quoi,Excellent.
mais mais pas de quoi,Parfait !
mais y'a pas de quoi,Super.
de rien,Super.
ce n'est rien,Formidable.
ce n'était rien,Formidable.
c'est rien,Excellent.
à ton service,Précisément.
je suis à ton service,Excellent.
pour vous servir,Excellent.
à votre service,Parfait !
pas de quoi,Super.
mais pour vous servir,Parfait !
est-ce que tu es capable de m'expliquer,Je ne suis pas certain de la réponse à donner.
Développe,"Excusez-moi, mais je ne comprends pas."
Dans quelle mesure ?,Je vais avoir du mal à vous répondre.
Explique,"Malheureusement, je ne comprends pas ce dont il est question."
peux-tu m'expliquer ta réponse,Je vais avoir du mal à vous répondre.
pourrais-tu expliquer,"Excusez-moi, mais je ne comprends pas."
Comment ça ?,"Malheureusement, je ne comprends pas ce dont il est question."
sais-tu expliquer,J'ai bien peur de ne pas vous suivre.
De quelle manière ?,Je vais avoir du mal à vous répondre.
y'a moyen de m'expliquer,Je vais avoir du mal à vous répondre.
est-ce que tu es capable d'expliquer,Je ne suis pas certain de la réponse à donner.
sais-tu m'expliquer,Je ne suis pas certain de la réponse à donner.
tu sais m'expliquer,Je ne suis pas certain de la réponse à donner.
est-ce que tu sais m'expliquer,"Excusez-moi, mais je ne comprends pas."
tu pourrais m'expliquer,"Excusez-moi, mais je ne comprends pas."
pourrais-tu m'expliquer,Je ne suis pas certain de la réponse à donner.
peux-tu m'expliquer,J'ai bien peur de ne pas vous suivre.
tu peux m'expliquer,J'ai bien peur de ne pas vous suivre.
est-ce que tu peux m'expliquer,"Malheureusement, je ne comprends pas ce dont il est question."
y'a moyen d'expliquer,J'ai bien peur de ne pas vous suivre.
c'est possible d'expliquer,Je ne suis pas certain de la réponse à donner.
es-tu en mesure d'expliquer,Je vais avoir du mal à vous répondre.
est-ce que tu es en mesure de m'expliquer,J'ai bien peur de ne pas vous suivre.
est-ce que tu es en mesure d'expliquer,J'ai bien peur de ne pas vous suivre.
tu es en mesure de m'expliquer,Je vais avoir du mal à vous répondre.
tu sais expliquer,"Excusez-moi, mais je ne comprends pas."
est-ce que tu sais expliquer,Je vais avoir du mal à vous répondre.
tu pourrais expliquer,J'ai bien peur de ne pas vous suivre.
peux-tu expliquer,"Excusez-moi, mais je ne comprends pas."
tu peux expliquer,J'ai bien peur de ne pas vous suivre.
est-ce que tu peux expliquer,"Malheureusement, je ne comprends pas ce dont il est question."
Explique-moi,Je vais avoir du mal à vous répondre.
De quelle façon ?,J'ai bien peur de ne pas vous suivre.
tu es en mesure d'expliquer,J'ai bien peur de ne pas vous suivre.
tu pourrais m'expliquer ta réponse,"Malheureusement, je ne comprends pas ce dont il est question."
tu es capable de m'expliquer ta réponse,J'ai bien peur de ne pas vous suivre.
tu sais m'expliquer ta réponse,"Malheureusement, je ne comprends pas ce dont il est question."
tu peux m'expliquer ta réponse,J'ai bien peur de ne pas vous suivre.
tu es en mesure d'expliquer ta réponse,"Malheureusement, je ne comprends pas ce dont il est question."
tu es capable d'expliquer ta réponse,"Excusez-moi, mais je ne comprends pas."
tu sais expliquer ta réponse,J'ai bien peur de ne pas vous suivre.
tu peux expliquer ta réponse,"Excusez-moi, mais je ne comprends pas."
tu es capable de m'expliquer,"Excusez-moi, mais je ne comprends pas."
tu es capable d'expliquer,J'ai bien peur de ne pas vous suivre.
y'a moyen de m'expliquer ta réponse,"Excusez-moi, mais je ne comprends pas."
c'est possible de m'expliquer ta réponse,"Excusez-moi, mais je ne comprends pas."
sais-tu m'expliquer ta réponse,"Excusez-moi, mais je ne comprends pas."
tu es en mesure de m'expliquer ta réponse,J'ai bien peur de ne pas vous suivre.
pourrais-tu m'expliquer ta réponse,Je vais avoir du mal à vous répondre.
y'a moyen d'expliquer ta réponse,Je ne suis pas certain de la réponse à donner.
c'est possible d'expliquer ta réponse,"Excusez-moi, mais je ne comprends pas."
es-tu en mesure d'expliquer ta réponse,"Excusez-moi, mais je ne comprends pas."
sais-tu expliquer ta réponse,Je ne suis pas certain de la réponse à donner.
tu pourrais expliquer ta réponse,J'ai bien peur de ne pas vous suivre.
pourrais-tu expliquer ta réponse,"Malheureusement, je ne comprends pas ce dont il est question."
peux-tu expliquer ta réponse,J'ai bien peur de ne pas vous suivre.
Explique-moi ta réponse,"Malheureusement, je ne comprends pas ce dont il est question."
c'est possible de m'expliquer,"Malheureusement, je ne comprends pas ce dont il est question."
es-tu en mesure de m'expliquer,Je ne suis pas certain de la réponse à donner.
es-tu en mesure de m'expliquer ta réponse,Je ne suis pas certain de la réponse à donner.
je te souhaite buenas tardes,Très belle soirée.
bonne matinée copine,Bonne matinée !
je vous donne le bonjour du matin,Très bonne matinée.
une bonne matinée toi,Bonne matinée !
hey un bon matin,Je vous souhaite une bonne matinée !
hey bonne matinée,Une très bonne matinée !
bon matin toi,Bonne matinée.
une bonne matinée très chère,Je vous souhaite une bonne matinée !
je vous souhaite une bonne matinée,Bonne matinée !
bon matin copain,Je vous souhaite une bonne matinée !
bon matin très cher,Très bonne matinée.
bonjour du matin vous,Très bonne matinée.
je te donne le bonjour du matin,Je vous souhaite une bonne matinée !
hey une bonne matinée,Je vous souhaite une bonne matinée !
hey bon matin,Je vous souhaite une bonne matinée !
hey bonjour du matin,Bonne matinée !
hi une bonne matinée,Bonne matinée !
hi un bon matin,Je vous souhaite une bonne matinée !
hi bonne matinée,Bonne matinée.
hi bon matin,Très bonne matinée.
hi bonjour du matin,Une très bonne matinée !
une bonne matinée vous,Bonne matinée !
un bon matin vous,Très bonne matinée.
bonjour du matin,Très bonne matinée.
bonjour une bonne matinée,Bonne matinée !
bon matin,Bonne matinée.
bonne matinée,Bonne matinée.
un bon matin,Une très bonne matinée !
une bonne matinée,Bonne matinée.
bonjour bon matin,Une très bonne matinée !
bonne matinée vous,Une très bonne matinée !
bonjour un bon matin,Bonne matinée.
bon matin vous,Bonne matinée !
bonjour du matin toi,Bonne matinée.
bonne matinée toi,Bonne matinée !
un bon matin toi,Bonne matinée.
je vous donne le bon matin,Bonne matinée.
bonjour bonne matinée,Je vous souhaite une bonne matinée !
bonne matinée copain,Très bonne matinée.
je te donne le bon matin,Très bonne matinée.
bon matin très chère,Très bonne matinée.
bonne matinée très chère,Une très bonne matinée !
un bon matin très chère,Bonne matinée.
une bonne matinée très cher,Très bonne matinée.
un bon matin très cher,Une très bonne matinée !
un bon matin copain,Je vous souhaite une bonne matinée !
une bonne matinée copain,Une très bonne matinée !
bonjour du matin copine,Une très bonne matinée !
bon matin copine,Bonne matinée.
un bon matin copine,Bonne matinée !
bonjour du matin copain,Bonne matinée.
je vous souhaite bon matin,Bonne matinée !
une bonne matinée copine,Très bonne matinée.
je te souhaite bonjour du matin,Une très bonne matinée !
je te souhaite bon matin,Une très bonne matinée !
je te souhaite bonne matinée,Bonne matinée.
je te souhaite un bon matin,Une très bonne matinée !
bonjour du matin très chère,Bonne matinée.
je vous souhaite bonjour du matin,Bonne matinée !
je vous souhaite bonne matinée,Bonne matinée !
je vous souhaite un bon matin,Très bonne matinée.
bonjour du matin très cher,Je vous souhaite une bonne matinée !
bonne matinée très cher,Bonne matinée !
je te souhaite une bonne matinée,Je vous souhaite une bonne matinée !
bonne nuit monsieur,Je vous souhaite une bonne nuit.
good night très cher,Je vous souhaite une bonne nuit.
une bien belle nuit mon cher,Douce nuit !
good night jeune homme,Passez une bonne nuit.
c'est l'heure de me coucher,Très bonne nuit !
bonne nuit pour toi,Bonne nuit.
bonne nuit mademoiselle,Douce nuit !
c'est l'heure d'aller au lit,Douce nuit !
nighty night pour toi,Bonne nuit.
bonne nuit copine,Je vous souhaite une bonne nuit.
bonne nuit à vous,Douce nuit !
good night chez toi,Passez une bonne nuit.
good night pour toi,Douce nuit !
gute nacht pour toi,Très bonne nuit !
bonne nuitée pour toi,Bonne nuit.
bien le bonne nuit à vous,Passez une bonne nuit.
une bonne nuit à vous,Bonne nuit.
nighty night à vous,Passez une bonne nuit.
good night à vous,Passez une bonne nuit.
bien le bonne nuit pour toi,Je vous souhaite une bonne nuit.
bonne nuitée à vous,Très bonne nuit !
bonne nuit pour vous,Passez une bonne nuit.
bien le bonne nuit à toi,Douce nuit !
une bonne nuit à toi,Très bonne nuit !
nighty night à toi,Douce nuit !
good night à toi,Bonne nuit.
gute nacht à toi,Très bonne nuit !
bonne nuitée à toi,Je vous souhaite une bonne nuit.
bonne nuit à toi,Bonne nuit.
bien le bonne nuit chez toi,Très bonne nuit !
une bonne nuit chez toi,Bonne nuit.
bonne nuit,Je vous souhaite une bonne nuit.
gute nacht à vous,Douce nuit !
nighty night très cher,Je vous souhaite une bonne nuit.
une bonne nuit pour toi très chère,Je vous souhaite une bonne nuit.
une bonne nuit très chère,Très bonne nuit !
nighty night très chère,Bonne nuit.
good night très chère,Très bonne nuit !
gute nacht très chère,Je vous souhaite une bonne nuit.
bonne nuitée très chère,Passez une bonne nuit.
bonne nuit très chère,Je vous souhaite une bonne nuit.
une bien belle nuit très cher,Passez une bonne nuit.
bien le bonne nuit très cher,Bonne nuit.
une bonne nuit très cher,Passez une bonne nuit.
gute nacht chez toi,Très bonne nuit !
gute nacht très cher,Douce nuit !
bonne nuitée très cher,Très bonne nuit !
bonne nuit très cher,Je vous souhaite une bonne nuit.
bien le bonne nuit pour vous,Passez une bonne nuit.
une bonne nuit pour vous,Passez une bonne nuit.
nighty night pour vous,Douce nuit !
good night pour vous,Bonne nuit.
gute nacht pour vous,Très bonne nuit !
bonne nuitée pour vous,Passez une bonne nuit.
une bonne nuit pour toi très cher,Passez une bonne nuit.
je te donne le bonne nuit,Douce nuit !
nighty night chez toi,Douce nuit !
nighty night toi,Très bonne nuit !
good night toi,Je vous souhaite une bonne nuit.
gute nacht toi,Bonne nuit.
bonne nuitée toi,Bonne nuit.
bonne nuit toi,Bonne nuit.
je vous donne le bonne nuit,Je vous souhaite une bonne nuit.
je vous dis bonne nuit,Douce nuit !
je vous souhaite bonne nuit,Très bonne nuit !
bien le bonne nuit toi,Très bonne nuit !
je te souhaite une bonne nuit,Douce nuit !
bonne nuit vous,Douce nuit !
je te dis bonne nuit,Passez une bonne nuit.
je te souhaite bonne nuit,Douce nuit !
une bien belle nuit,Je vous souhaite une bonne nuit.
bien le bonne nuit,Je vous souhaite une bonne nuit.
une bonne nuit pour toi,Je vous souhaite une bonne nuit.
une bonne nuit,Passez une bonne nuit.
nighty night,Passez une bonne nuit.
good night,Passez une bonne nuit.
gute nacht,Passez une bonne nuit.
bonne nuitée,Bonne nuit.
je te dis une bonne nuit,Bonne nuit.
nighty night chez vous,Je vous souhaite une bonne nuit.
bonne nuitée chez toi,Douce nuit !
bonne nuit chez toi,Très bonne nuit !
bien le bonne nuit par chez vous,Très bonne nuit !
une bonne nuit par chez vous,Bonne nuit.
nighty night par chez vous,Bonne nuit.
good night par chez vous,Je vous souhaite une bonne nuit.
gute nacht par chez vous,Bonne nuit.
bonne nuitée par chez vous,Bonne nuit.
bonne nuit par chez vous,Passez une bonne nuit.
une bonne nuit toi,Bonne nuit.
une bonne nuit chez vous,Je vous souhaite une bonne nuit.
bonne nuit mon cher,Je vous souhaite une bonne nuit.
good night chez vous,Douce nuit !
gute nacht chez vous,Bonne nuit.
bonne nuitée chez vous,Je vous souhaite une bonne nuit.
bonne nuit chez vous,Douce nuit !
bien le bonne nuit vous,Bonne nuit.
une bonne nuit vous,Très bonne nuit !
nighty night vous,Passez une bonne nuit.
good night vous,Bonne nuit.
gute nacht vous,Je vous souhaite une bonne nuit.
bonne nuitée vous,Douce nuit !
bien le bonne nuit chez vous,Passez une bonne nuit.
une bonne nuit monsieur,Très bonne nuit !
bien le bonne nuit très chère,Très bonne nuit !
une bonne nuit pour toi madame,Bonne nuit.
une bonne nuit madame,Bonne nuit.
nighty night madame,Bonne nuit.
good night madame,Douce nuit !
gute nacht madame,Bonne nuit.
bonne nuitée madame,Douce nuit !
bonne nuit madame,Très bonne nuit !
une bien belle nuit monsieur,Passez une bonne nuit.
une bien belle nuit madame,Très bonne nuit !
une bonne nuit pour toi monsieur,Je vous souhaite une bonne nuit.
nighty night monsieur,Très bonne nuit !
good night monsieur,Bonne nuit.
gute nacht monsieur,Douce nuit !
bonne nuitée monsieur,Bonne nuit.
une bien belle nuit copine,Bonne nuit.
bien le bonne nuit copine,Passez une bonne nuit.
une bonne nuit pour toi copine,Je vous souhaite une bonne nuit.
une bonne nuit copine,Douce nuit !
nighty night copine,Très bonne nuit !
bien le bonne nuit monsieur,Je vous souhaite une bonne nuit.
gute nacht jeune homme,Je vous souhaite une bonne nuit.
c'est l'heure de dormir,Très bonne nuit !
je vais au lit,Bonne nuit.
je vais me coucher,Passez une bonne nuit.
je vais dormir,Passez une bonne nuit.
une bien belle nuit jeune homme,Douce nuit !
bien le bonne nuit jeune homme,Passez une bonne nuit.
une bonne nuit pour toi jeune homme,Passez une bonne nuit.
une bonne nuit jeune homme,Bonne nuit.
bien le bonne nuit madame,Passez une bonne nuit.
bonne nuitée copine,Douce nuit !
bonne nuitée jeune homme,Très bonne nuit !
bonne nuit jeune homme,Passez une bonne nuit.
une bien belle nuit mademoiselle,Douce nuit !
bien le bonne nuit mademoiselle,Très bonne nuit !
une bonne nuit pour toi mademoiselle,Très bonne nuit !
une bonne nuit mademoiselle,Je vous souhaite une bonne nuit.
nighty night mademoiselle,Très bonne nuit !
good night mademoiselle,Très bonne nuit !
gute nacht mademoiselle,Très bonne nuit !
bonne nuitée mademoiselle,Douce nuit !
nighty night jeune homme,Bonne nuit.
bonne nuitée ma chère,Bonne nuit.
good night mon ami,Douce nuit !
gute nacht mon ami,Douce nuit !
bonne nuitée mon ami,Bonne nuit.
bonne nuit mon ami,Très bonne nuit !
une bien belle nuit ma chère,Très bonne nuit !
bien le bonne nuit ma chère,Très bonne nuit !
une bonne nuit pour toi ma chère,Je vous souhaite une bonne nuit.
une bonne nuit ma chère,Bonne nuit.
nighty night ma chère,Douce nuit !
good night copine,Passez une bonne nuit.
gute nacht ma chère,Douce nuit !
une bonne nuit pour toi mon ami,Douce nuit !
bonne nuit ma chère,Douce nuit !
bien le bonne nuit mon cher,Bonne nuit.
une bonne nuit pour toi mon cher,Douce nuit !
une bonne nuit mon cher,Bonne nuit.
nighty night mon cher,Douce nuit !
good night mon cher,Très bonne nuit !
gute nacht mon cher,Passez une bonne nuit.
bonne nuitée mon cher,Douce nuit !
good night ma chère,Je vous souhaite une bonne nuit.
bien le bonne nuit mon amie,Très bonne nuit !
une bien belle nuit très chère,Bonne nuit.
une bien belle nuit copain,Passez une bonne nuit.
bien le bonne nuit copain,Bonne nuit.
une bonne nuit pour toi copain,Douce nuit !
une bonne nuit copain,Très bonne nuit !
nighty night copain,Je vous souhaite une bonne nuit.
good night copain,Bonne nuit.
gute nacht copain,Douce nuit !
bonne nuitée copain,Bonne nuit.
nighty night mon ami,Passez une bonne nuit.
une bien belle nuit mon amie,Bonne nuit.
une bonne nuit mon ami,Douce nuit !
une bonne nuit pour toi mon amie,Bonne nuit.
une bonne nuit mon amie,Je vous souhaite une bonne nuit.
nighty night mon amie,Douce nuit !
good night mon amie,Très bonne nuit !
gute nacht mon amie,Très bonne nuit !
bonne nuitée mon amie,Passez une bonne nuit.
bonne nuit mon amie,Je vous souhaite une bonne nuit.
une bien belle nuit mon ami,Passez une bonne nuit.
bien le bonne nuit mon ami,Douce nuit !
gute nacht copine,Je vous souhaite une bonne nuit.
bonne nuit copain,Douce nuit !
bonjour ça va,"Très bien, merci beaucoup ! et vous ?"
c'était cool ta journée jusqu'ici,"Ma journée se passe très bien, merci."
c'est comment ta journée aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
tu passes une bonne journée,"Jusqu'ici, tout va bien ! Et vous ?"
est-ce que tu as eu une chouette journée aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
ça va ta journée jusqu'ici,"Ma journée se passe très bien, merci."
passes-tu une bonne journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
parle-moi de ta journée d'aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
ça se passe comment ta journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
est-ce que tu as eu une agréable journée aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
c'est stylé ta journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
comment c'est ta journée jusque maintenant,"Je passe une très bonne journée, je vous remercie. Et vous ?"
c'était comment ta journée,"Ma journée se passe très bien, merci."
ça roule ta journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
ça roule ta journée jusque maintenant,"C'est une excellente journée, merci ! Et vous ?"
tu passes une chouette journée,"C'est une très belle journée, merci beaucoup."
comment est ta journée jusque maintenant,"C'est une excellente journée, merci ! Et vous ?"
est-ce que tu passes une bonne journée,"Jusqu'ici, tout va bien ! Et vous ?"
comment se passe ta journée jusque maintenant,"C'est une très belle journée, merci beaucoup."
comment est ta journée jusque là,"Ma journée se passe très bien, merci."
comment c'est ta journée jusque là,"C'est une excellente journée, merci ! Et vous ?"
comment se passe ta journée jusque là,"Je passe une très bonne journée, je vous remercie. Et vous ?"
comment est ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
comment c'est ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
ça va ta journée jusque maintenant,"Je passe une très bonne journée, je vous remercie. Et vous ?"
tu passes une agréable journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
passes-tu une chouette journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
passes-tu une agréable journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
est-ce que tu passes une chouette journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
est-ce que tu passes une agréable journée jusqu'ici,"Ma journée se passe très bien, merci."
tu passes une agréable journée,"Ma journée se passe très bien, merci."
tu passes une chouette journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
comment c'est ta journée,"Jusqu'ici, tout va bien ! Et vous ?"
tu passes une bonne journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
passes-tu une chouette journée,"Jusqu'ici, tout va bien ! Et vous ?"
passes-tu une agréable journée,"Ma journée se passe très bien, merci."
passes-tu une bonne journée,"C'est une très belle journée, merci beaucoup."
est-ce que tu passes une chouette journée,"C'est une très belle journée, merci beaucoup."
est-ce que tu passes une agréable journée,"C'est une très belle journée, merci beaucoup."
est-ce que tu passes une bonne journée jusqu'ici,"Je passe une très bonne journée, je vous remercie. Et vous ?"
c'était bien ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
c'est stylé ta journée,"Jusqu'ici, tout va bien ! Et vous ?"
c'est bien ta journée,"Jusqu'ici, tout va bien ! Et vous ?"
c'est comment ta journée,"Jusqu'ici, tout va bien ! Et vous ?"
c'était agréable ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
c'était sympa ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
comment se passe ta journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
c'était stylé ta journée jusqu'ici,"Je passe une très bonne journée, je vous remercie. Et vous ?"
c'est agréable ta journée,"C'est une excellente journée, merci ! Et vous ?"
c'était comment ta journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
c'était agréable ta journée,"Je passe une très bonne journée, je vous remercie. Et vous ?"
c'était sympa ta journée,"Ma journée se passe très bien, merci."
c'était cool ta journée,"Ma journée se passe très bien, merci."
c'était stylé ta journée,"Jusqu'ici, tout va bien ! Et vous ?"
c'était bien ta journée,"Jusqu'ici, tout va bien ! Et vous ?"
c'est agréable ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
tu passes une chouette journée aujourd'hui,"Ma journée se passe très bien, merci."
comment se passe ta journée,"Je passe une très bonne journée, je vous remercie. Et vous ?"
ça se passe ta journée,"Jusqu'ici, tout va bien ! Et vous ?"
ça se passe bien ta journée,"Ma journée se passe très bien, merci."
ça se passe comment ta journée,"C'est une très belle journée, merci beaucoup."
ça se passe ta journée jusqu'ici,"Je passe une très bonne journée, je vous remercie. Et vous ?"
c'est cool ta journée,"Ma journée se passe très bien, merci."
c'est sympa ta journée,"C'est une excellente journée, merci ! Et vous ?"
c'est sympa ta journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
c'est cool ta journée jusqu'ici,"Je passe une très bonne journée, je vous remercie. Et vous ?"
c'est bien ta journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
c'est comment ta journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
comment est ta journée,"Ma journée se passe très bien, merci."
ça se passe bien ta journée jusqu'ici,"Jusqu'ici, tout va bien ! Et vous ?"
dis-moi comment est ta journée,"C'est une excellente journée, merci ! Et vous ?"
parle de ta journée aujourd'hui,"Jusqu'ici, tout va bien ! Et vous ?"
ça va ta journée aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
comment va ta journée aujourd'hui,"C'est une très belle journée, merci beaucoup."
ça va comment ta journée aujourd'hui,"Je passe une très bonne journée, je vous remercie. Et vous ?"
as-tu eu une agréable journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
dis comment est ta journée,"Ma journée se passe très bien, merci."
dis comment est ta journée aujourd'hui,"Ma journée se passe très bien, merci."
parle-moi de ta journée,"Ma journée se passe très bien, merci."
parle de ta journée,"C'est une excellente journée, merci ! Et vous ?"
ça va ta journée,"Je passe une très bonne journée, je vous remercie. Et vous ?"
comment va ta journée,"Ma journée se passe très bien, merci."
ça va comment ta journée,"C'est une excellente journée, merci ! Et vous ?"
tu passes une bonne journée aujourd'hui,"C'est une très belle journée, merci beaucoup."
comment est ta journée aujourd'hui,"Ma journée se passe très bien, merci."
parle de ta journée d'aujourd'hui,"C'est une très belle journée, merci beaucoup."
dis-moi comment est ta journée jusqu'ici,"Ma journée se passe très bien, merci."
parle-moi de ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
parle de ta journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
comment va ta journée jusqu'ici,"C'est une très belle journée, merci beaucoup."
ça va comment ta journée jusqu'ici,"C'est une excellente journée, merci ! Et vous ?"
dis comment est ta journée d'aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
parle-moi de ta journée aujourd'hui,"Jusqu'ici, tout va bien ! Et vous ?"
dis-moi comment est ta journée aujourd'hui,"Ma journée se passe très bien, merci."
ça va ta journée d'aujourd'hui,"Jusqu'ici, tout va bien ! Et vous ?"
comment va ta journée d'aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
ça va comment ta journée d'aujourd'hui,"C'est une très belle journée, merci beaucoup."
c'est comment ta journée d'aujourd'hui,"C'est une excellente journée, merci ! Et vous ?"
comment est ta journée d'aujourd'hui,"Ma journée se passe très bien, merci."
