,text,classes
4243,Je suis optimiste quant aux résultats de mon examen. Je pense que j'ai bien réussi!,empathetic
36287,c'est entendu oui,chitchat
917,J'ai promis à ma femme de ne pas boire d'alcool et je ne l'ai pas fait depuis 1 an.,empathetic
34900,j'aimerais entendre une chanson,chitchat
34620,je suis marxiste,chitchat
5212,"La fois où j'ai décidé de dire à mon amie que je l'aimais, elle a été prise au dépourvu.",empathetic
19064,"J'avais prévu une visite à vélo avec un de mes amis. A la dernière minute, il n'a pas pu venir en voyage avec moi. Je n'ai fini que par faire environ la moitié du voyage et voler à la maison.",empathetic
3189,quand mon père m'a acheté une voiture,empathetic
24448,enchanté de te connaître,chitchat
7449,J'étais heureux de me détendre pendant le week-end.,empathetic
28250,j'en peux plus de cette tristesse,chitchat
13320,"J'ai reçu une lettre dans le courrier aujourd'hui de mon cousin. Il était à l'étranger et penser à moi, c'était un bon choc",empathetic
27181,tout marche bien pour moi,chitchat
36356,c'est noté,chitchat
14899,"Mon voisin a promis de me donner ses propriétés juste pour que je accepte d'être sa petite amie , mais ce que j'ai est suffisant pour moi",empathetic
6977,"J'ai fait des plongées sur de petites planches de plongée depuis longtemps. Un jour, J'ai décidé de plonger sur de grandes planches de plongée se demandant ce qui se passerait.",empathetic
14409,Mon chien a vu ce chat être poursuivi et a fait peur à l'autre chien.,empathetic
7776,"J'ai entendu cette chanson ""Somewhere Out There"" et ça m'a ramené à mon enfance en regardant ""Fivel Goes West"" avec ma mère et mon père.",empathetic
12092,"J'ai peur de vérifier mes messages. La dernière ligne que j'ai vue de mon ami est ""nous avons rompu"".",empathetic
29392,tu es amie avec Google Assistant,chitchat
31988,es-tu plus âgé que moi,chitchat
1983,"J'avais 20 dollars assis dans ma voiture et j'ai ouvert mes fenêtres. Ensuite, vous savez, les 20 dollars ont volé par la fenêtre.",empathetic
27729,je me sens par moments hyper seule,chitchat
18648,Mon chat a dû se faire opérer sur sa jambe et j'avais tellement peur et je m'inquiétais pour elle.,empathetic
15447,"J'ai eu l'augmentation que je voulais à mon travail, c'est bon de savoir que tout mon dur labeur a payé à la fin.",empathetic
17909,"J'aime mon chat, mais elle me rend fou me frottant constamment contre mon visage. J'ai tellement de poils de chat dans le nez.",empathetic
22703,"Quitter le bar l'autre jour avec mon copain, j'ai complètement trébuché et je suis tombé sur le pas juste devant la porte et m'ai gratté le genou. Tellement humiliant.",empathetic
2620,J'ai entendu quelqu'un se blottir en bas de ma maison la nuit dernière après que je me sois couchée et ça m'a fait peur à moitié à mort.,empathetic
4383,Mon voisin m'a prêté leur nouvelle BMW à utiliser pendant que ma voiture est dans le magasin.,empathetic
3319,"Chaque fois que je regarde de vieilles photos de famille, je suis sentimental à propos des vacances que nous passions ensemble.",empathetic
5272,Je conduisais aujourd'hui et je me suis écrasé dans une voiture garée!,empathetic
30743,est-ce que tu veux nous attaquer,chitchat
25617,t'es vraiment trop classe,chitchat
33435,t'as un nom,chitchat
12832,Mon semestre commence la semaine prochaine et j'ai l'impression que ce sera mon meilleur.,empathetic
13256,"On a trouvé de vieilles photos de grands-parents qui nettoyaient ma maison, c'était fou de les voir si jeunes.",empathetic
23597,on se dit à plus,chitchat
32719,Est-ce que tu peux lire mes e-mails,chitchat
4208,Notre réunion de famille a été un désastre cette année.,empathetic
4597,"Passé par mon ancienne classe. En regardant in, il m'a manqué le temps que j'ai souffert dans le dos par la conférence.",empathetic
1464,Je suis tellement ennuyé par le président Trump.,empathetic
15185,J'ai failli vomir après avoir mangé le burger au fromage pourri qu'on m'a donné chez McDonalds.,empathetic
37336,est-ce que tu marches,chitchat
13609,Donald Trump me dégoûte vraiment.,empathetic
15318,"Quand j'étais plus jeune, on m'a pris avec de l'herbe.",empathetic
22396,"Je suis rentré à la maison hier, j'ai trouvé mon canapé déchiré, disons que je ne suis pas satisfait de mon chien",empathetic
16952,J'ai toujours eu l'impression d'avoir une vie plus dure que la plupart des gens.,empathetic
6971,J'ai presque mangé quelque chose avec des coquillages mais quelqu'un m'a arrêté et je l'ai remercié.,empathetic
30484,tu penses quoi de la tech aujourd'hui,chitchat
20406,Nous avons récemment campé pendant une semaine. Être dans ma famille m'a fait me concentrer sur ce qui compte dans la vie.,empathetic
27863,j'aime mon téléphone,chitchat
1320,"J'ai été dégoûté quand j'ai vu quelqu'un saigner pendant un combat, leur tête avait été fissurée",empathetic
26702,je suis hyper en pétard,chitchat
31491,viens on chatte,chitchat
22677,"La NASA a publié quelques affiches de l'espace libre il y a quelques mois. J'en ai choisi quelques-unes que j'ai aimées, les avoir imprimées pour un petit prix et maintenant elles sont sur mon mur! Je suis si heureuse.",empathetic
14299,MES enfants agissent comme s'ils n'aiment plus les repas cuits à la maison.,empathetic
12122,"En cours de science, j'ai dû disséquer une grenouille, tout le sang était dégoûtant.",empathetic
33910,est-ce que tu peux me raconter une blague,chitchat
11373,J'ai fait beaucoup de recherches pour un entretien d'embauche cette semaine,empathetic
13309,J'avais peur de rentrer chez moi l'autre soir.,empathetic
8462,Je n'aurais pas dû faire confiance à mon frère avec mon chien!,empathetic
9520,J'ai été étonné par la beauté de San Sebastian.,empathetic
21353,J'ai dû me le sortir de la poitrine que j'ai trompé ma femme.,empathetic
10585,J'ai fait l'erreur d'aller sur un site risque une fois. J'ai vu des trucs grotesques qui m'ont vraiment dégoûté et je n'y suis jamais allé à nouveau.,empathetic
34019,peux-tu me faire me marrer,chitchat
32485,Es-tu capable de saigner,chitchat
16636,"Mon père a payé mes études universitaires, il me permet d'économiser beaucoup d'argent.",empathetic
27969,j'adore le débat,chitchat
8272,Ce mal de tête doit disparaître.,empathetic
32945,Tu sais aller sur la lune,chitchat
10155,"Mon meilleur ami vient de me dire qu'ils avaient l'intention d'obtenir un changement de sexe. Je n'avais aucune idée, ils semblaient être assez à l'aise comme ils étaient jusqu'à récemment.",empathetic
19247,J'ai rompu avec mon copain la semaine dernière et rien n'est pareil sans lui.,empathetic
37356,test est-ce que ça marche,chitchat
22841,je dois faire le ménage,chitchat
18852,Quelqu'un a appelé chez moi hier soir à 2 heures du matin et m'a réveillé. C'était un mauvais numéro mais ils ne m'ont pas cru quand je leur ai dit que je ne connaissais pas de Bret.,empathetic
33102,qui est-ce qui t'a faite,chitchat
1394,Je me sentais mal quand j'ai raté mon mariage de cousin.,empathetic
5184,"J'ai juste la terre et le tremblement de terre dans indonesia,il semble que beaucoup de gens sont morts là-bas.",empathetic
34248,mais silence,chitchat
11216,Je n'arrive pas à croire que l'ex ait quitté l'État sans en parler à personne.,empathetic
2650,Le magasin du bas de la rue n'a jamais de lumière Corona en stock,empathetic
10787,Je suis rentré hier sur un canapé déchiré. Je suppose que mon chien a une journée amusante tout seul.,empathetic
3284,Mon ami vient d'acheter une voiture neuve et je n'arrive pas à croire à quel point il l'a achetée.,empathetic
34028,donne des vannes,chitchat
31520,est-ce que tu veux bien discuter,chitchat
26434,tu me manques de ouf,chitchat
19431,Mon chien est mort à cette époque l'année dernière et elle me manque,empathetic
33841,j'aimerais bien une blague,chitchat
21516,J'ai été à plusieurs rendez-vous avec cette fille et je sens que je vais lui demander d'être mon gf. Je suis sûr qu'elle dira oui.,empathetic
20761,J'ai été stupéfaite de voir à quel point Angelina Jolie est belle. Je l'ai vue l'autre jour dans un restaurant.,empathetic
24461,je suis charmé de vous connaître,chitchat
6743,Ma fille a échoué à un examen et a essayé de me le cacher.,empathetic
27560,je suis très souvent super seul,chitchat
22964,je devrais aller chez mon père,chitchat
7447,Je savais que je gagnerais la lotoire.,empathetic
2035,Quelqu'un a volé mon téléphone!,empathetic
6362,Ils ont arrêté de faire des beignets à ma boulangerie préférée.,empathetic
19709,Les enfants sont retournés à l'école aujourd'hui!,empathetic
6533,"En dernière année de lycée, mon frère est allé à l'université et ma mère a beaucoup travaillé alors j'étais le seul dans la maison beaucoup. C'était une période assez triste.",empathetic
26581,je suis vraiment furieuse,chitchat
14779,"J'ai été une fois proposé d'aller sur un rendez-vous par un homme qui savait que j'étais marié. Je n'étais pas intéressé à tromper mon mari, et je lui ai dit.",empathetic
24298,tu passes une agréable journée,chitchat
5931,"J'adorais jouer au vieux pokemon games, Je les ai toujours cassées de temps en temps pour un retour",empathetic
31365,tu as une épouse,chitchat
14822,"Dernièrement, je partageais des souvenirs avec ma femme avant notre mariage et c'était réconfortant.",empathetic
20922,Ma femme m'a dit qu'elle était enceinte.,empathetic
35981,c’est une réponse complètement nase,chitchat
27450,t'as pas vu que je déconnais,chitchat
33316,es-tu un mâle,chitchat
15481,J'ai été pris en train de tricher sur un test de maths.,empathetic
28697,je trouve que t'es sacrément barbant,chitchat
15867,Rien de tel que de visiter un endroit où tu vivais.,empathetic
22527,"Mon cousin a la vie parfaite, un petit ami aimant et deux beaux enfants. J'aimerais avoir cela.",empathetic
6309,Je suis littéralement regarder de vieux épisodes de jeu de trônes en ce moment. Je ne peux pas attendre la saison finale,empathetic
4748,J'ai très peur pour les États-Unis.,empathetic
36570,comique ha ha ha,chitchat
29542,Est-ce que tu es amie avec d'autres assistants virtuels,chitchat
30505,Quelle est ton opinion sur Alexa,chitchat
24392,as-tu eu une agréable journée,chitchat
12809,Je suis heureux de commencer sur un nouveau site Web de conception demain. Notre entreprise a atterri une grande affaire avec un concessionnaire de voitures locales!,empathetic
8956,"A un magasin, un vendeur mentait sur les prix des articles qu'il vendait.",empathetic
31404,peut-on parler,chitchat
19476,Pâques quand mon père avait couvert toute la cour d'œufs,empathetic
32357,Est-ce que t'aimerais faire pipi,chitchat
36341,yes,chitchat
8163,Je loue avec Arnb à un jeune couple et j'ai trouvé ma maison complètement détruite. Ils ont même pris une décharge dans le salon.,empathetic
20177,Je me sentais bien et heureux quand je suis diplômée de l'université,empathetic
22636,les gardes de sécurité,empathetic
30298,de toi et moi qui est le plus intelligent,chitchat
34898,je veux entendre une chanson,chitchat
37229,je veux me flinguer,chitchat
19542,Je ne peux pas attendre pour aller voyager! J'ai un prochain voyage à Madagascar,empathetic
21770,Ma femme a eu une fête d'anniversaire pour moi que je ne savais pas. J'ai été complètement repris quand tous mes amis sont arrivés.,empathetic
7366,"J'étais content pour mon père, il a pris sa retraite.",empathetic
23468,Je ne comprends rien à ce que tu dis,chitchat
26719,je suis super hors de moi,chitchat
28028,j'aime beaucoup des personnes,chitchat
27677,j'en ai assez de me sentir si seul,chitchat
18885,"Quelqu'un m'a envoyé un joli vase que je trouve magnifique. Il n'y avait ni note ni adresse de retour, donc je ne sais pas de qui il venait.",empathetic
9009,"J'ai joué dans un tournoi de cornhole pendant le week-end. J'ai eu un très bon sentiment à ce sujet. Malheureusement, nous n'avons pas gagné.",empathetic
11175,Halloween arrive et ça veut dire qu'il y aura des maisons hantées! Je veux y aller mais je ne veux pas avoir trop peur.,empathetic
32706,Tu peux jouer au football,chitchat
2877,Je sens la peur de nos jours.,empathetic
27509,je suis très seul,chitchat
21513,Mon frère et ma sœur ont un bébé et aujourd'hui c'est le genre qui se révèle. Notre famille a hâte de voir ce qu'est le genre.,empathetic
7378,Ma mère m'a fait un gâteau de nulle part.,empathetic
10786,"Ma fille est à son entretien d'embauche, je suis sûre qu'elle l'a dans le sac.",empathetic
23723,allez aurevoir,chitchat
20333,"L'autre jour, j'ai eu un mauvais accident de voiture et j'ai gâché ma jambe, mais je savais que je marcherais à nouveau.",empathetic
7092,"Quand je marchais dans mon quartier, j'ai senti quelque chose tomber sur ma tête. J'ai atteint et réalisé qu'un oiseau avait fait son affaire sur moi. J'ai été révolté!",empathetic
6207,Je mangeais un hot-dog à l'école. J'ai commencé à rire et j'ai failli m'étouffer de toute l'école.,empathetic
17547,J'ai trouvé des photos de ma grand-mère dans le grenier hier soir.,empathetic
37004,je voudrais vraiment que tu me prennes dans tes bras,chitchat
23136,est-ce que je suis attirant aujourd'hui,chitchat
17165,"J'ai eu récemment un ouragan dans ma ville. Heureusement, j'avais bien planifié et j'avais tout le matériel dont j'avais besoin pour rester en sécurité jusqu'à la fin de la tempête. Je suis heureux d'avoir pensé à l'avenir.",empathetic
15731,"J'étais vraiment impatient de mes vacances récentes. Je comptais sur les jours, et j'ai fait mes valises très tôt!",empathetic
37049,j'envisage de mettre fin à ma vie,chitchat
18583,"C'était vraiment dur pour moi quand j'ai entendu que j'étais accepté dans mon rêve college, mais j'ai passé à autre chose qui n'était pas aussi bon",empathetic
26058,parce que tu es celui que j’ai attendue tout ce temps,chitchat
22728,J'ai fait une blague vraiment inappropriée sur quelqu'un avec qui je travaille avec d'autres collègues et ça leur est revenu. Je me sens vraiment mal à ce sujet.,empathetic
26107,parce que je suis complètement fou de toi,chitchat
16858,"Je suis très content de ma vie à la maison, c'est presque idéal.",empathetic
23853,correct,chitchat
1773,Je pense que ce semestre va bien se passer.,empathetic
24658,wesh Siri,chitchat
7768,J'ai toujours été un fan des animaux de compagnie. J'adore sortir mon chien pour des promenades et des trucs,empathetic
8405,"Malgré le départ pour travailler avec suffisamment de temps, le train était hors service et retardé pendant environ 30 minutes",empathetic
29223,as-tu déjà mangé une pizza,chitchat
19513,Je n'ai qu'un week-end de détente prévu pour ce week-end.,empathetic
21289,"La semaine dernière à work, l'un de mes collègues a pris le crédit d'un travail que j'avais accompli. Je suis allé directement à mon manager pour l'arranger.",empathetic
11191,J'ai renversé du café sur tout mon clavier.,empathetic
16968,"Je suis reconnaissant de ma famille, ils sont très gentils avec moi et me font sentir aimé",empathetic
15869,Ma mère était malade et j'ai pris quelques jours de congé pour m'occuper d'elle.,empathetic
14921,im juste assis ici avec mon chat sur mes genoux et de penser à tout l'argent dans mon compte en banque. la vie est bonne,empathetic
32136,Tu devrais poser une question sur moi,chitchat
21409,J'étais fier quand mon petit frère a été diplômé de l'université. Il a dû travailler dur mais il a réussi.,empathetic
2540,J'ai eu beaucoup de problèmes avec ma petite amie mais nous avons travaillé à travers eux et sommes restés fidèles l'un à l'autre.,empathetic
14905,J'ai tellement confiance en ma femme.,empathetic
16112,"Je suis allé en parachute pour la première fois. J'ai dû m'attacher à quelqu'un que je ne connaissais pas, et sauter d'un plan parfaitement bon.",empathetic
9735,J'ai manqué le bon vieux temps où les gens parlaient et ne vérifiaient pas leurs téléphones toutes les quelques minutes.,empathetic
32898,Tu sais écouter la radio,chitchat
35018,trop fort,chitchat
9089,J'étais en colère quand j'ai vu une bosse dans ma porte.,empathetic
33984,raconte-moi une vanne,chitchat
6206,Longue voiture en voiture à venir,empathetic
11543,Un garçon a commencé à être impoli avec mon fils dans la maison de rebond. Son parent ne regardait pas du tout!,empathetic
25445,puis-je être ton meilleur ami,chitchat
36322,oui je comprends,chitchat
31894,dis-moi quand est-ce que c’est ton anniv,chitchat
3951,"Je fais toujours mes propres cheveux, ça n'a jamais l'air aussi bon que mes amis.",empathetic
12628,J'ai couru sur un clou et j'ai dû prendre un nouveau pneu.,empathetic
10116,J'étais heureux quand j'ai vu que j'avais la journée de congé!,empathetic
36849,est-ce que tu m'aimes pas du tout,chitchat
24778,hi R2D2,chitchat
36824,est-ce que tu m'apprécies pas vraiment,chitchat
2978,J'ai tellement peur que mon manager ne tienne pas sa promesse pour ma promotion.,empathetic
24020,bon matin copain,chitchat
13035,J'ai déjeuné avec mon ami pour son anniversaire.,empathetic
1922,L'école commence la semaine prochaine et je suis tellement excitée. J'ai tout ce dont j'ai besoin et j'ai même ma tenue pour le premier jour choisi.,empathetic
8021,"J'ai fait une pizza avec cheese, eggs, oignons et tofu. Ça sonne fou, mais je pense que c'est merveilleux.",empathetic
34555,je suis une bonne mère,chitchat
26640,je suis vraiment super colère,chitchat
18265,Ma sœur a ouvert son propre magasin de détail.,empathetic
33439,est-ce que tu possèdes un prénom,chitchat
25215,est-ce que tu voudrais être ma meilleure pote,chitchat
33244,est-ce que tu es masculine,chitchat
21693,"Ma grand-mère a jeté mes annuaires de lycée. Je ne suis pas trop nostalgique à propos du lycée ou quoi que ce soit, mais ça m'a rendu en quelque sorte fou, ils ne peuvent pas être remplacés.",empathetic
4253,Ma fille est partie avec ses amis et sa chambre est en désordre.,empathetic
23511,je te laisse,chitchat
2319,Je me souviens quand je suis allé chez mon ami parce que son chien avait juste des chiots. C'était tellement excitant et j'étais si heureux! Quelle chose incroyable à voir!,empathetic
26790,je n'ai vraiment jamais été autant verte de rage,chitchat
29174,tu as parfois envie de manger,chitchat
36595,désopilant,chitchat
29960,de nous deux qui est le plus beau,chitchat
16472,"J'aime tellement ma mère, elle s'est très bien occupée de nous.",empathetic
21534,"Nous avons étudié notre fille à la maison depuis 3 ans. Cette année, elle a décidé de retourner à l'école publique.",empathetic
21073,Je suis allé regarder le film d'Annabelle dans les théâtres. C'était tellement effrayant et je me suis donné des coups de pied pour être seule la nuit.,empathetic
16514,"Je sais que ma femme est là pour me, bon ou mauvais.",empathetic
24421,je suis vraiment enchanté de vous rencontrer,chitchat
7567,Mon fils vient d'être diplômé de l'université.,empathetic
27247,il fait faim,chitchat
25564,à ton avis tu penses qu'il est possible de m'aimer bien,chitchat
29505,t'es pote avec d'autres chatbots,chitchat
5086,Je suis sûr que les démocrates gagneront en novembre.,empathetic
5713,"Récemment, mon 18 mois a commencé à répéter des mots tellement plus clairement.... me rend si heureux!",empathetic
32665,est-ce que tu connais ton patron,chitchat
4612,Je suis rentré à la maison et ma fenêtre extérieure de ma chambre de chat était cassée. Cela me fait me sentir effrayée comme je suis dans un mauvais quartier et aimerait savoir ce qui s'est passé quand je n'étais pas à la maison?,empathetic
26127,veux-tu devenir mon mari,chitchat
32233,Pose des questions sur moi,chitchat
14122,"Quand mon ami a fait l'équipe de hockey, il a travaillé si dur.",empathetic
12099,Je travaille dur pour rembourser toutes mes dettes.,empathetic
35427,Bixby assure mieux que toi,chitchat
6094,J'ai passé un super week-end avec les gamins.,empathetic
31081,tu es subtile toi,chitchat
33730,tu es congédiée,chitchat
20228,J'étais un spectateur de recevoir des cadeaux pour mon anniversaire b,empathetic
34042,peux-tu raconter quelque chose humoristique,chitchat
5564,Un peu sur la clôture si je dois demander un congé cette semaine,empathetic
18086,J'ai travaillé dur toute la nuit pour cet examen. Il faut 5 mois pour récupérer les résultats. L'attente me tue.,empathetic
32292,Est-ce que t'aimerais éternuer,chitchat
12010,"Ce week-end, mes amis et moi allons au casino. Je veux frapper le jackpot et revenir à la maison avec plus d'argent que je n'ai commencé!",empathetic
32417,tu voudrais bailler,chitchat
30886,est-ce que tu es dangereuse pour la terre,chitchat
25790,Tu ne serais pas en train de tomber amoureuse de moi,chitchat
7427,Je vais enfin parler à une fille que j'ai contactée.,empathetic
22602,"Demain, c'est mon premier jour universitaire et je suis très nerveux.",empathetic
16017,quand j'ai mangé toute la glace,empathetic
31022,tu sais que t'es vif toi,chitchat
25115,quoi de beau avec toi,chitchat
25511,tu m'apprécies,chitchat
33732,je veux te virer,chitchat
30890,est-ce que tu es dangereux pour la terre,chitchat
20606,"Je me sens mal, Je n'ai pas vraiment de famille donc ça craint d'être essentiellement un orphelin sans personne pour aller à si quelque chose tourne mal",empathetic
22451,J'étais à Wal-Mart l'autre soir et un homme est venu me demander de l'argent pour l'essence! J'étais un peu gardé parce qu'il sortait d'un véhicule qui avait deux autres hommes en train de fixer. C'était bizarre.,empathetic
16816,J'ai fait un voyage en Israël l'année dernière. J'ai lu en ligne sur les questions qu'ils posent. J'étais définitivement prêt pour les agents frontaliers.,empathetic
26236,est-ce que je suis parent,chitchat
27735,je me sens souvent vraiment seule,chitchat
15444,J'ai engagé quelqu'un pour nettoyer ma maison l'autre jour et je n'allais pas être à la maison. Mais ils ont eu de bons commentaires sur Facebook.,empathetic
11167,Un autre de mes amis s'est marié ce week-end.,empathetic
9153,Mon chien a chié sur le tapis hier.,empathetic
29930,à ton avis entre nous c'est lequel le plus beau,chitchat
11624,Ma voiture n'a jamais été plus sale!,empathetic
31900,tu sais quand est-ce que c’est ton anniversaire,chitchat
18705,Mon chat jouait avec un jouet et a décidé de me l'apporter. C'était une souris morte!,empathetic
14791,J'ai récemment emménagé dans une toute petite ville. C'est vraiment difficile de trouver des amis et de faire des liens.,empathetic
24274,passes-tu une bonne journée jusqu'ici,chitchat
9362,"J'ai triché pour gagner le jeu de cartes, je me sens horrible.",empathetic
35050,c'est vraiment la classe,chitchat
12035,Je suis diplômée en hiver et j'ai déjà un emploi.,empathetic
11924,J'ai juste fini de nettoyer mon condenseur a/c. Mais j'ai peur d'avoir coupé un des linis électriques.,empathetic
3657,Une de mes amies a organisé une fête impromptue pour mon anniversaire.,empathetic
30786,veux-tu asservir le monde,chitchat
7027,Je n'arrive pas à croire que Stan Mikita soit mort.,empathetic
32391,tu sais dormir,chitchat
5507,J'ai été surpris quand j'ai été élu président de classe.,empathetic
29255,tu aimes manger,chitchat
23591,on se voit plus tard,chitchat
24391,tu as eu une bonne journée jusqu'ici,chitchat
26403,j'avoue que tu me manques beaucoup,chitchat
23966,pourrais-tu m'expliquer,chitchat
23062,est-ce que je plais un peu aux autres,chitchat
31559,est-ce que t'es un chatbot,chitchat
31961,t’es plus gamine que moi,chitchat
26273,est-ce que tu sais des choses sur moi,chitchat
35086,c'est vraiment chanmé,chitchat
3935,"Mon petit ami a rompu avec moi et m'a payé mon loyer, je vais être expulsé.",empathetic
17587,Je me sens triste quand je vois des gens gaspiller leur potentiel ou se sous-estimer.,empathetic
28995,tu as des fils,chitchat
11109,Mon fils a passé son test de conduite hier.,empathetic
7991,"J'ai un examen demain, mais je suis au travail assez tard.",empathetic
25742,tu es grave le meilleur,chitchat
29226,est-ce que tu as déjà goûté un steak,chitchat
384,Je me sentais comme ça quand mon père m'a acheté un Super Nintendo pour mon 9ème anniversaire. Nous étions très pauvres donc c'était inattendu!,empathetic
12016,Ma fille nous a rendus en retard le premier jour de l'école.. Je déteste être en retard,empathetic
27943,j'adore aller au restaurant,chitchat
29561,Est-ce que t'as entendu parler de des chatbots,chitchat
2238,J'ai oublié de nourrir mon chien ce matin. Elle était très agressive et je ne savais pas ce qui n'allait pas au début puis ça m'a frappé. Je savais que c'était ma faute sur la raison pour laquelle elle était si enragée!,empathetic
30519,C'est quoi ton opinion sur l'Assistant Google,chitchat
4450,"Hier, mon fils a prononcé son premier mot. Mes yeux étaient remplis de larmes.",empathetic
27690,toutes mes amies sont loin d'ici,chitchat
18882,Quelqu'un se déplaçait sur la route et j'ai eu un accident avec eux.,empathetic
18595,Je me sens prêt à prendre cette année scolaire et passer avec des couleurs volantes!,empathetic
32696,est-ce que tu sais comment s'appelle ton patron,chitchat
17566,Mon amie très proche a perdu ses parents et ses frères et sœurs dans un incendie et l'a consolée à propos de l'incident vient de me faire réaliser combien je devrais être reconnaissant chaque jour pour la famille dont je suis béni.,empathetic
4319,Ma mère a perdu quelques-unes de ses dents dans un accident de voiture et une assurance voiture complète ne les couvre JAMAIS. Je lui ai acheté de fausses dents en plastique moulé qui l'aideront à se sentir confiante jusqu'à ce qu'elle puisse se permettre des dents.,empathetic
4325,J'ai récemment laissé un ami qui tombe sur des moments difficiles emprunter ma toute nouvelle voiture.,empathetic
15116,"J'ai fait faire mes cheveux aujourd'hui et ça a l'air vraiment mauvais, j'étais trop gêné pour sortir de la maison.",empathetic
3453,J'ai essayé de faire parler ma mère et elle s'est énervée et m'a insultée.,empathetic
28205,j'en peux plus de me sentir déprimé,chitchat
24116,une bien belle nuit très cher,chitchat
9220,J'ai trop dormi sur mes enfants le premier jour. Je me sens terrible,empathetic
8671,à mes jours d'école,empathetic
11265,Je ne comprends toujours pas comment GOP a réussi à faire passer les réductions d'impôts à un moment où le déficit fédéral s'élève au-dessus des plafonds.,empathetic
18319,"Quand j'ai commencé à travailler et que j'attendais le premier chèque de paie, j'étais si anxieuse. Je n'avais jamais gagné d'argent avant et je continuais à vérifier le courrier chaque matin au cas où il se présenterait tôt.",empathetic
1377,"Hier, c'était l'anniversaire de mon frère et j'ai oublié de l'appeler.",empathetic
33644,Stoppe les répétitions,chitchat
616,Ma grand-mère est décédée et c'était vraiment dur.,empathetic
6191,J'adore être à la maison pour mes enfants.,empathetic
10503,Mon frère est bien meilleur dans le sport que moi.,empathetic
31427,tu veux parler,chitchat
26421,il faut que je te dise que tu me manques plus que jamais,chitchat
8689,Je viens de découvrir que mes parents amènent mon mari et mes enfants en voyage d'une semaine à Hawaii!,empathetic
35356,tu es vraiment trop stupide,chitchat
12095,J'ai appris récemment que ma sœur allait avoir un bébé.,empathetic
32763,Est-ce que tu peux aller sur la lune,chitchat
35824,Je trouve que t'es vraiment affreuse,chitchat
9785,"Je suis entré dans une course avec un de mes amis il y a un moment. Il m'a battu par une bonne distance, même si je pensais que j'étais plus rapide.",empathetic
9003,Le gamin de 8 ans de mon ami cuisine comme un petit chef Ramsey.,empathetic
34762,est-ce que tu pourrais chanter quelque chose,chitchat
22148,Mon ami est entré dans un accident de voiture il y a quelques jours alors que j'étais dans la voiture. C'était définitivement une expérience effrayante.,empathetic
21817,Mon mari vient de signer avec la NFL. Je ne savais pas qu'il était si bon.,empathetic
8175,J'ai trouvé mon vieux jouet préféré dans mon placard.,empathetic
26226,où j’habite,chitchat
2085,Mon meilleur ami a découvert que sa femme avait eu une liaison avec son frère. Je suis à côté de moi en ce moment avec colère.,empathetic
19544,"J'ai marché seul dans les bois la nuit, j'avais tellement peur.",empathetic
33379,est-ce que tu pourrais me dire comment tu t'appelles,chitchat
36576,c'est désopilant ha ha ha,chitchat
6642,Je savais que j'allais bien faire lors de mon dernier test. J'ai étudié dur.,empathetic
26400,tu me manques beaucoup,chitchat
1289,quand je n'ai pas peint la maison de la bonne couleur,empathetic
206,"J'ai eu des actions de la famille il y a longtemps, je l'ai laissé s'asseoir là.",empathetic
8882,"J'étais nerveux d'aller voir cette fille, c'était un rendez-vous aveugle.",empathetic
30559,Quel est ton avis sur Siri,chitchat
18795,Aller chez le dentiste m'inquiète toujours.,empathetic
29922,d'après toi de nous deux qui est-ce qui est le plus beau,chitchat
28241,j'ai une vie de merde,chitchat
2297,J'ai l'impression d'avoir une très bonne relation avec ma femme dernièrement.,empathetic
8348,J'étais gênée à mon premier rendez-vous.,empathetic
35140,tu es carrément ingénieux,chitchat
32467,c'est possible pour toi d'éternuer,chitchat
25076,je vous souhaite un très joyeux dimanche de pentecôte,chitchat
22616,pour l'événement social à venir,empathetic
19756,Je nettoyais la chambre de mes filles l'autre jour et j'ai trouvé un pot de chaton plein d'eau et de vieilles fleurs qui s'étaient transformées en soupe de moisissure verte.,empathetic
20210,J'étais vraiment surpris que j'ai enfin fait du travail aujourd'hui. Ça a été une taxe la semaine dernière.,empathetic
32123,J'ai envie que que tu me poses une question,chitchat
23941,de rien,chitchat
30488,c'est quoi ce que tu penses sur la tech aujourd'hui,chitchat
14815,Je savais que la famille de ma femme aiderait avec l'argent pour notre mariage.,empathetic
10993,Je me suis assis dans beaucoup de trafic l'autre jour car il y avait une épave en avant. Cette personne folle a décidé qu'il était plus important et zoomé par dans la voie d'urgence.,empathetic
17218,"J'ai postulé pour un poste différent à work, et je n'ai pas reçu la promotion.",empathetic
34070,raconte-moi un truc marrant,chitchat
1919,"Je n'arrête pas d'entendre des choses dans ma cuisine, je pense que la souris est de retour.",empathetic
20335,J'ai hâte que l'école commence à l'automne.,empathetic
32455,Est-ce que c'est possible pour toi de transpirer,chitchat
37118,j’ai envie de me jeter du toit d'un immeuble,chitchat
26133,veux-tu être mon épouse,chitchat
26469,que penses-tu à propos de moi,chitchat
35019,trop intelligent,chitchat
34385,tu la meules je ne veux plus t’entendre,chitchat
33148,qui est-ce qui est ton développeur,chitchat
4934,Je pense souvent à mes plus jeunes années. Je le fais plus souvent maintenant.,empathetic
18919,Le premier vol a été retardé et la compagnie aérienne ne s'est pas excusée et n'a pas fourni d'altenative.,empathetic
29378,t'as entendu parler de Google Assistant,chitchat
36553,ha ha désopilant,chitchat
